"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",0.158025274881811,-0.0590325407116686,3.06568194452718,-0.0192559247109939,0.984636944387844,NA
"Q0050",0.444816199926578,0.122603161616382,1.94009786800431,0.0631943179972143,0.949611769319293,0.97174580861712
"Q0055",0.0750525236859704,0.671885331041733,3.5338115409304,0.190130493168528,0.849206875793086,NA
"Q0060",0,NA,NA,NA,NA,NA
"Q0065",0,NA,NA,NA,NA,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0,NA,NA,NA,NA,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.0756579667113887,0.671885331041733,3.5338115409304,0.190130493168528,0.849206875793086,NA
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.0750525236859704,0.671885331041733,3.5338115409304,0.190130493168528,0.849206875793086,NA
"Q0110",0,NA,NA,NA,NA,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.0756579667113887,0.671885331041733,3.5338115409304,0.190130493168528,0.849206875793086,NA
"Q0130",0.151102560888007,-0.0462448823930368,3.11336740187335,-0.0148536540741098,0.988148934529846,NA
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",0,NA,NA,NA,NA,NA
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",0.158393199877375,-0.0546186257271686,3.06267185493543,-0.0178336525472528,0.98577155817411,NA
"Q0255",0,NA,NA,NA,NA,NA
"Q0275",0.0756579667113887,0.671885331041733,3.5338115409304,0.190130493168528,0.849206875793086,NA
"Q0297",0,NA,NA,NA,NA,NA
"YAL001C",70.975482664319,-0.454601559201682,0.183301425981338,-2.48007650113953,0.0131354197299587,0.0384098628736351
"YAL002W",62.9735042821391,-0.158149674528275,0.180343803048775,-0.876934343485607,0.380522300931579,0.533287959762679
"YAL003W",1052.80321811572,1.27220830203028,0.0442757940243937,28.7337207623958,1.44697782939123e-181,1.08902307588231e-179
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",1809.21567220067,1.81464780236729,0.0356486652181062,50.9036675360741,0,0
"YAL007C",124.278333437455,-0.139345311939515,0.132084162425529,-1.05497365755777,0.291437372658583,0.443540459785161
"YAL008W",60.3123333764551,-0.103342888464198,0.184421130311085,-0.560363599821109,0.575231454575557,0.710553586523382
"YAL009W",41.6196623050485,-0.610600959892869,0.240993675483536,-2.53368043235054,0.0112871614438183,0.0338990188350685
"YAL010C",43.1737215527477,-0.373019224295165,0.216825174261925,-1.72036861293863,0.0853654585876687,0.1768284499316
"YAL011W",50.9250343082583,-0.65532683856297,0.202967515624483,-3.22872769342762,0.00124342230622635,0.00497211626816129
"YAL012W",795.060491858615,0.604837302475386,0.0514182337573182,11.763089827824,6.04797185025299e-32,1.11149064061917e-30
